run,epoch,time,node,success_rate,avg_latency,drop_rate,trust_score,packets_forwarded,invalid_sig,is_malicious,alpha,rho,theta,block_size
alpha0_run0,6,50,10.0.0.5,1.0,120.42,0.0,0.9213,10,0,0,0.0,0.0306,0.4852,19
alpha0_run0,7,60,10.0.0.1,0.9998,116.31,0.0,0.916,15,0,0,0.0,0.0249,0.4878,20
alpha0_run0,7,60,10.0.0.2,1.0,121.36,0.0,0.923,17,0,0,0.0,0.0249,0.4878,20
alpha0_run0,7,60,10.0.0.3,1.0,113.03,0.0,0.9285,20,0,0,0.0,0.0249,0.4878,20
alpha0_run0,7,60,10.0.0.4,1.0,132.6,0.0,0.9249,17,0,0,0.0,0.0249,0.4878,20
alpha0_run0,7,60,10.0.0.5,1.0,134.34,0.0,0.9247,12,0,0,0.0,0.0249,0.4878,20
alpha0_run0,8,70,10.0.0.1,1.0,116.29,0.0,0.9237,19,0,0,0.0,0.0288,0.486,19
alpha0_run0,8,70,10.0.0.2,1.0,135.92,0.0,0.9257,20,0,0,0.0,0.0288,0.486,19
alpha0_run0,8,70,10.0.0.3,1.0,112.48,0.0,0.9331,24,0,0,0.0,0.0288,0.486,19
alpha0_run0,8,70,10.0.0.4,1.0,132.6,0.0,0.9276,17,0,0,0.0,0.0288,0.486,19
alpha0_run0,8,70,10.0.0.5,1.0,121.09,0.0,0.9292,17,0,0,0.0,0.0288,0.486,19
alpha0_run0,9,80,10.0.0.1,1.0,121.38,0.0,0.9284,23,0,0,0.0,0.0188,0.4908,20
alpha0_run0,9,80,10.0.0.2,1.0,135.92,0.0,0.9276,20,0,0,0.0,0.0188,0.4908,20
alpha0_run0,9,80,10.0.0.3,1.0,122.93,0.0,0.9347,25,0,0,0.0,0.0188,0.4908,20
alpha0_run0,9,80,10.0.0.4,1.0,121.24,0.0,0.9311,22,0,0,0.0,0.0188,0.4908,20
alpha0_run0,9,80,10.0.0.5,1.0,125.83,0.0,0.9315,20,0,0,0.0,0.0188,0.4908,20
alpha0_run0,10,90,10.0.0.1,1.0,127.23,0.0,0.9308,24,0,0,0.0,0.0153,0.4925,20
alpha0_run0,10,90,10.0.0.2,1.0,132.78,0.0,0.9294,21,0,0,0.0,0.0153,0.4925,20
alpha0_run0,10,90,10.0.0.3,1.0,124.87,0.0,0.9356,28,0,0,0.0,0.0153,0.4925,20
alpha0_run0,10,90,10.0.0.4,1.0,123.1,0.0,0.9333,23,0,0,0.0,0.0153,0.4925,20
alpha0_run0,10,90,10.0.0.5,1.0,129.68,0.0,0.9326,22,0,0,0.0,0.0153,0.4925,20
alpha0_run0,11,100,10.0.0.1,1.0,145.38,0.0,0.9298,25,0,0,0.0,0.0157,0.4923,20
alpha0_run0,11,100,10.0.0.2,1.0,156.36,0.0,0.9271,25,0,0,0.0,0.0157,0.4923,20
alpha0_run0,11,100,10.0.0.3,1.0,140.39,0.0,0.9338,29,0,0,0.0,0.0157,0.4923,20
alpha0_run0,11,100,10.0.0.4,1.0,132.49,0.0,0.9334,25,0,0,0.0,0.0157,0.4923,20
alpha0_run0,11,100,10.0.0.5,1.0,107.46,0.0,0.9367,33,0,0,0.0,0.0157,0.4923,20
alpha0_run0,12,110,10.0.0.1,1.0,111.69,0.0,0.9341,36,0,0,0.0,0.0189,0.4907,20
alpha0_run0,12,110,10.0.0.2,1.0,156.36,0.0,0.9255,25,0,0,0.0,0.0189,0.4907,20
alpha0_run0,12,110,10.0.0.3,1.0,140.39,0.0,0.9326,29,0,0,0.0,0.0189,0.4907,20
alpha0_run0,12,110,10.0.0.4,1.0,122.64,0.0,0.935,29,0,0,0.0,0.0189,0.4907,20
alpha0_run0,12,110,10.0.0.5,1.0,119.74,0.0,0.9377,35,0,0,0.0,0.0189,0.4907,20
alpha0_run0,13,120,10.0.0.1,1.0,123.84,0.0,0.9353,40,0,0,0.0,0.0244,0.4881,20
alpha0_run0,13,120,10.0.0.2,1.0,156.36,0.0,0.9244,25,0,0,0.0,0.0244,0.4881,20
alpha0_run0,13,120,10.0.0.3,1.0,103.37,0.0,0.9373,40,0,0,0.0,0.0244,0.4881,20
alpha0_run0,13,120,10.0.0.4,0.8971,112.44,0.0,0.9222,30,0,0,0.0,0.0244,0.4881,20
alpha0_run0,13,120,10.0.0.5,0.9647,119.74,0.0,0.9332,35,0,0,0.0,0.0244,0.4881,20
alpha0_run0,14,130,10.0.0.1,1.0,126.72,0.0,0.9357,42,0,0,0.0,0.0184,0.491,20
alpha0_run0,14,130,10.0.0.2,1.0,132.77,0.0,0.9272,33,0,0,0.0,0.0184,0.491,20
alpha0_run0,14,130,10.0.0.3,1.0,130.84,0.0,0.9365,42,0,0,0.0,0.0184,0.491,20
alpha0_run0,14,130,10.0.0.4,0.9647,129.3,0.0,0.9209,31,0,0,0.0,0.0184,0.491,20
alpha0_run0,14,130,10.0.0.5,0.9941,129.03,0.0,0.933,37,0,0,0.0,0.0184,0.491,20
alpha0_run0,15,140,10.0.0.1,1.0,126.72,0.0,0.936,42,0,0,0.0,0.0208,0.4898,20
alpha0_run0,15,140,10.0.0.2,1.0,115.05,0.0,0.9318,41,0,0,0.0,0.0208,0.4898,20
alpha0_run0,15,140,10.0.0.3,1.0,130.84,0.0,0.9359,42,0,0,0.0,0.0208,0.4898,20
alpha0_run0,15,140,10.0.0.4,0.9647,129.3,0.0,0.9199,31,0,0,0.0,0.0208,0.4898,20
alpha0_run0,15,140,10.0.0.5,0.9998,88.16,0.0,0.9398,42,0,0,0.0,0.0208,0.4898,20
alpha0_run0,16,150,10.0.0.1,1.0,126.72,0.0,0.9362,42,0,0,0.0,0.0139,0.4931,20
alpha0_run0,16,150,10.0.0.2,1.0,120.49,0.0,0.9342,45,0,0,0.0,0.0139,0.4931,20
alpha0_run0,16,150,10.0.0.3,1.0,130.84,0.0,0.9355,42,0,0,0.0,0.0139,0.4931,20
alpha0_run0,16,150,10.0.0.4,0.9993,119.46,0.0,0.9259,38,0,0,0.0,0.0139,0.4931,20
alpha0_run0,16,150,10.0.0.5,1.0,119.96,0.0,0.9399,43,0,0,0.0,0.0139,0.4931,20
alpha0_run0,17,160,10.0.0.1,1.0,133.98,0.0,0.9352,43,0,0,0.0,0.0172,0.4915,20
alpha0_run0,17,160,10.0.0.2,1.0,120.49,0.0,0.9358,45,0,0,0.0,0.0172,0.4915,20
alpha0_run0,17,160,10.0.0.3,1.0,101.79,0.0,0.9396,46,0,0,0.0,0.0172,0.4915,20
alpha0_run0,17,160,10.0.0.4,0.9998,127.75,0.0,0.9289,40,0,0,0.0,0.0172,0.4915,20
alpha0_run0,17,160,10.0.0.5,0.7,113.11,0.0,0.8959,48,0,0,0.0,0.0172,0.4915,20
alpha0_run0,18,170,10.0.0.1,1.0,120.98,0.0,0.9365,51,0,0,0.0,0.0196,0.4904,20
alpha0_run0,18,170,10.0.0.2,1.0,132.53,0.0,0.9352,47,0,0,0.0,0.0196,0.4904,20
alpha0_run0,18,170,10.0.0.3,1.0,128.56,0.0,0.9384,54,0,0,0.0,0.0196,0.4904,20
alpha0_run0,18,170,10.0.0.4,1.0,141.77,0.0,0.929,41,0,0,0.0,0.0196,0.4904,20
alpha0_run0,18,170,10.0.0.5,0.928,113.11,0.0,0.8994,48,0,0,0.0,0.0196,0.4904,20
alpha0_run0,19,180,10.0.0.1,1.0,141.66,0.0,0.9343,53,0,0,0.0,0.0187,0.4908,20
alpha0_run0,19,180,10.0.0.2,1.0,106.54,0.0,0.9387,52,0,0,0.0,0.0187,0.4908,20
alpha0_run0,19,180,10.0.0.3,1.0,147.08,0.0,0.9348,58,0,0,0.0,0.0187,0.4908,20
alpha0_run0,19,180,10.0.0.4,1.0,144.76,0.0,0.9286,44,0,0,0.0,0.0187,0.4908,20
alpha0_run0,19,180,10.0.0.5,0.7858,112.32,0.0,0.8806,52,0,0,0.0,0.0187,0.4908,20
alpha0_run0,20,190,10.0.0.1,1.0,141.66,0.0,0.9328,53,0,0,0.0,0.02,0.4902,20
alpha0_run0,20,190,10.0.0.2,1.0,126.61,0.0,0.9381,55,0,0,0.0,0.02,0.4902,20
alpha0_run0,20,190,10.0.0.3,1.0,147.08,0.0,0.9323,58,0,0,0.0,0.02,0.4902,20
alpha0_run0,20,190,10.0.0.4,1.0,129.15,0.0,0.9306,56,0,0,0.0,0.02,0.4902,20
alpha0_run0,20,190,10.0.0.5,0.9486,108.97,0.0,0.8924,53,0,0,0.0,0.02,0.4902,20
alpha0_run0,21,200,10.0.0.1,1.0,141.66,0.0,0.9317,53,0,0,0.0,0.0148,0.4927,20
alpha0_run0,21,200,10.0.0.2,1.0,115.6,0.0,0.9393,58,0,0,0.0,0.0148,0.4927,20
alpha0_run0,21,200,10.0.0.3,1.0,147.08,0.0,0.9306,58,0,0,0.0,0.0148,0.4927,20
alpha0_run0,21,200,10.0.0.4,1.0,137.27,0.0,0.9309,57,0,0,0.0,0.0148,0.4927,20
alpha0_run0,21,200,10.0.0.5,0.9979,109.97,0.0,0.9078,59,0,0,0.0,0.0148,0.4927,20
alpha0_run0,22,210,10.0.0.1,1.0,140.28,0.0,0.9311,62,0,0,0.0,0.0163,0.492,20
alpha0_run0,22,210,10.0.0.2,1.0,126.79,0.0,0.9385,61,0,0,0.0,0.0163,0.492,20
alpha0_run0,22,210,10.0.0.3,1.0,147.08,0.0,0.9293,58,0,0,0.0,0.0163,0.492,20
alpha0_run0,22,210,10.0.0.4,1.0,137.27,0.0,0.931,57,0,0,0.0,0.0163,0.492,20
alpha0_run0,22,210,10.0.0.5,0.9998,117.1,0.0,0.9179,62,0,0,0.0,0.0163,0.492,20
alpha0_run0,23,220,10.0.0.1,1.0,156.81,0.0,0.9283,63,0,0,0.0,0.0162,0.492,20
alpha0_run0,23,220,10.0.0.2,1.0,130.32,0.0,0.9374,62,0,0,0.0,0.0162,0.492,20
alpha0_run0,23,220,10.0.0.3,1.0,125.89,0.0,0.9317,60,0,0,0.0,0.0162,0.492,20
alpha0_run0,23,220,10.0.0.4,1.0,131.6,0.0,0.932,62,0,0,0.0,0.0162,0.492,20
alpha0_run0,23,220,10.0.0.5,1.0,133.0,0.0,0.9226,63,0,0,0.0,0.0162,0.492,20
alpha0_run0,24,230,10.0.0.1,1.0,156.81,0.0,0.9263,63,0,0,0.0,0.0155,0.4924,20
alpha0_run0,24,230,10.0.0.2,1.0,130.32,0.0,0.9366,62,0,0,0.0,0.0155,0.4924,20
alpha0_run0,24,230,10.0.0.3,1.0,123.44,0.0,0.9336,70,0,0,0.0,0.0155,0.4924,20
alpha0_run0,24,230,10.0.0.4,1.0,125.17,0.0,0.9336,64,0,0,0.0,0.0155,0.4924,20
alpha0_run0,24,230,10.0.0.5,1.0,133.0,0.0,0.9258,63,0,0,0.0,0.0155,0.4924,20
alpha0_run0,25,240,10.0.0.1,1.0,156.81,0.0,0.9249,63,0,0,0.0,0.0138,0.4932,20
alpha0_run0,25,240,10.0.0.2,1.0,130.32,0.0,0.9361,62,0,0,0.0,0.0138,0.4932,20
alpha0_run0,25,240,10.0.0.3,1.0,131.27,0.0,0.9339,74,0,0,0.0,0.0138,0.4932,20
alpha0_run0,25,240,10.0.0.4,1.0,117.23,0.0,0.9359,75,0,0,0.0,0.0138,0.4932,20
alpha0_run0,25,240,10.0.0.5,1.0,133.0,0.0,0.9281,63,0,0,0.0,0.0138,0.4932,20
alpha0_run0,26,250,10.0.0.1,1.0,156.81,0.0,0.9239,63,0,0,0.0,0.0164,0.4919,20
alpha0_run0,26,250,10.0.0.2,1.0,127.63,0.0,0.9361,65,0,0,0.0,0.0164,0.4919,20
alpha0_run0,26,250,10.0.0.3,1.0,115.91,0.0,0.9363,79,0,0,0.0,0.0164,0.4919,20
alpha0_run0,26,250,10.0.0.4,1.0,124.37,0.0,0.9365,79,0,0,0.0,0.0164,0.4919,20
alpha0_run0,26,250,10.0.0.5,1.0,133.04,0.0,0.9297,65,0,0,0.0,0.0164,0.4919,20
alpha0_run0,27,260,10.0.0.1,1.0,156.81,0.0,0.9232,63,0,0,0.0,0.0132,0.4935,20
alpha0_run0,27,260,10.0.0.2,1.0,144.29,0.0,0.9336,66,0,0,0.0,0.0132,0.4935,20
alpha0_run0,27,260,10.0.0.3,1.0,123.76,0.0,0.9369,84,0,0,0.0,0.0132,0.4935,20
alpha0_run0,27,260,10.0.0.4,1.0,124.37,0.0,0.9369,79,0,0,0.0,0.0132,0.4935,20
alpha0_run0,27,260,10.0.0.5,1.0,109.68,0.0,0.9344,73,0,0,0.0,0.0132,0.4935,20
alpha0_run0,28,270,10.0.0.1,1.0,156.81,0.0,0.9227,63,0,0,0.0,0.0135,0.4934,20
alpha0_run0,28,270,10.0.0.2,1.0,144.29,0.0,0.9319,66,0,0,0.0,0.0135,0.4934,20
alpha0_run0,28,270,10.0.0.3,1.0,143.28,0.0,0.9343,88,0,0,0.0,0.0135,0.4934,20
alpha0_run0,28,270,10.0.0.4,1.0,104.14,0.0,0.9402,83,0,0,0.0,0.0135,0.4934,20
alpha0_run0,28,270,10.0.0.5,1.0,131.16,0.0,0.9344,84,0,0,0.0,0.0135,0.4934,20
alpha0_run0,29,280,10.0.0.1,1.0,136.81,0.0,0.9254,78,0,0,0.0,0.015,0.4926,20
alpha0_run0,29,280,10.0.0.2,1.0,144.29,0.0,0.9307,66,0,0,0.0,0.015,0.4926,20
alpha0_run0,29,280,10.0.0.3,1.0,143.28,0.0,0.9325,88,0,0,0.0,0.015,0.4926,20
alpha0_run0,29,280,10.0.0.4,1.0,133.35,0.0,0.9381,85,0,0,0.0,0.015,0.4926,20
alpha0_run0,29,280,10.0.0.5,1.0,120.77,0.0,0.936,85,0,0,0.0,0.015,0.4926,20
alpha0_run0,30,290,10.0.0.1,1.0,138.5,0.0,0.927,82,0,0,0.0,0.0127,0.4937,20
alpha0_run0,30,290,10.0.0.2,1.0,144.29,0.0,0.9298,66,0,0,0.0,0.0127,0.4937,20
alpha0_run0,30,290,10.0.0.3,1.0,143.28,0.0,0.9313,88,0,0,0.0,0.0127,0.4937,20
alpha0_run0,30,290,10.0.0.4,1.0,133.35,0.0,0.9367,85,0,0,0.0,0.0127,0.4937,20
alpha0_run0,30,290,10.0.0.5,1.0,104.67,0.0,0.9395,101,0,0,0.0,0.0127,0.4937,20
alpha0_run0,31,300,10.0.0.1,1.0,142.17,0.0,0.9276,95,0,0,0.0,0.0112,0.4945,20
alpha0_run0,31,300,10.0.0.2,1.0,148.54,0.0,0.9286,67,0,0,0.0,0.0112,0.4945,20
alpha0_run0,31,300,10.0.0.3,1.0,143.28,0.0,0.9304,88,0,0,0.0,0.0112,0.4945,20
alpha0_run0,31,300,10.0.0.4,1.0,118.25,0.0,0.938,87,0,0,0.0,0.0112,0.4945,20
alpha0_run0,31,300,10.0.0.5,1.0,129.42,0.0,0.9382,106,0,0,0.0,0.0112,0.4945,20
alpha0_run0,32,310,10.0.0.1,1.0,142.17,0.0,0.928,95,0,0,0.0,0.0121,0.494,20
alpha0_run0,32,310,10.0.0.2,1.0,148.54,0.0,0.9277,67,0,0,0.0,0.0121,0.494,20
alpha0_run0,32,310,10.0.0.3,1.0,114.13,0.0,0.9342,91,0,0,0.0,0.0121,0.494,20
alpha0_run0,32,310,10.0.0.4,0.7,120.55,0.0,0.8935,92,0,0,0.0,0.0121,0.494,20
alpha0_run0,32,310,10.0.0.5,1.0,131.62,0.0,0.937,107,0,0,0.0,0.0121,0.494,20
alpha0_run0,33,320,10.0.0.1,1.0,129.84,0.0,0.9301,101,0,0,0.0,0.0134,0.4934,20
alpha0_run0,33,320,10.0.0.2,1.0,148.54,0.0,0.9271,67,0,0,0.0,0.0134,0.4934,20
alpha0_run0,33,320,10.0.0.3,1.0,121.61,0.0,0.9357,98,0,0,0.0,0.0134,0.4934,20
alpha0_run0,33,320,10.0.0.4,0.9496,120.55,0.0,0.8998,92,0,0,0.0,0.0134,0.4934,20
alpha0_run0,33,320,10.0.0.5,1.0,131.62,0.0,0.9362,107,0,0,0.0,0.0134,0.4934,20
alpha0_run0,34,330,10.0.0.1,1.0,137.84,0.0,0.9304,102,0,0,0.0,0.0123,0.4939,20
alpha0_run0,34,330,10.0.0.2,1.0,148.54,0.0,0.9267,67,0,0,0.0,0.0123,0.4939,20
alpha0_run0,34,330,10.0.0.3,1.0,108.98,0.0,0.9386,104,0,0,0.0,0.0123,0.4939,20
alpha0_run0,34,330,10.0.0.4,0.9997,104.75,0.0,0.9141,100,0,0,0.0,0.0123,0.4939,20
alpha0_run0,34,330,10.0.0.5,1.0,131.62,0.0,0.9356,107,0,0,0.0,0.0123,0.4939,20
alpha0_run0,35,340,10.0.0.1,1.0,134.84,0.0,0.9311,103,0,0,0.0,0.0145,0.4928,20
alpha0_run0,35,340,10.0.0.2,0.853,148.54,0.0,0.9044,67,0,0,0.0,0.0145,0.4928,20
alpha0_run0,35,340,10.0.0.3,1.0,141.85,0.0,0.9358,113,0,0,0.0,0.0145,0.4928,20
alpha0_run0,35,340,10.0.0.4,0.79,117.45,0.0,0.8907,103,0,0,0.0,0.0145,0.4928,20
alpha0_run0,35,340,10.0.0.5,0.7,122.08,0.0,0.8916,109,0,0,0.0,0.0145,0.4928,20
alpha0_run0,36,350,10.0.0.1,0.79,116.6,0.0,0.9027,111,0,0,0.0,0.016,0.4921,20
alpha0_run0,36,350,10.0.0.2,0.9941,112.18,0.0,0.9153,73,0,0,0.0,0.016,0.4921,20
alpha0_run0,36,350,10.0.0.3,1.0,139.65,0.0,0.9341,116,0,0,0.0,0.016,0.4921,20
alpha0_run0,36,350,10.0.0.4,0.928,117.45,0.0,0.8951,103,0,0,0.0,0.016,0.4921,20
alpha0_run0,36,350,10.0.0.5,0.79,122.08,0.0,0.8743,109,0,0,0.0,0.016,0.4921,20
alpha0_run0,37,360,10.0.0.1,0.9753,114.67,0.0,0.911,113,0,0,0.0,0.0209,0.4897,20
alpha0_run0,37,360,10.0.0.2,0.9998,137.24,0.0,0.9201,90,0,0,0.0,0.0209,0.4897,20
alpha0_run0,37,360,10.0.0.3,1.0,139.65,0.0,0.9329,116,0,0,0.0,0.0209,0.4897,20
alpha0_run0,37,360,10.0.0.4,0.9618,117.45,0.0,0.9032,103,0,0,0.0,0.0209,0.4897,20
alpha0_run0,37,360,10.0.0.5,0.9496,122.08,0.0,0.8861,109,0,0,0.0,0.0209,0.4897,20
alpha0_run0,38,370,10.0.0.1,0.897,132.01,0.0,0.9025,121,0,0,0.0,0.0199,0.4903,20
alpha0_run0,38,370,10.0.0.2,1.0,146.29,0.0,0.9221,97,0,0,0.0,0.0199,0.4903,20
alpha0_run0,38,370,10.0.0.3,1.0,151.93,0.0,0.9302,117,0,0,0.0,0.0199,0.4903,20
alpha0_run0,38,370,10.0.0.4,0.9978,128.78,0.0,0.9126,106,0,0,0.0,0.0199,0.4903,20
alpha0_run0,38,370,10.0.0.5,0.9941,132.13,0.0,0.8996,113,0,0,0.0,0.0199,0.4903,20
alpha0_run0,39,380,10.0.0.1,0.9753,132.01,0.0,0.9082,121,0,0,0.0,0.0186,0.4909,20
alpha0_run0,39,380,10.0.0.2,1.0,139.38,0.0,0.9246,100,0,0,0.0,0.0186,0.4909,20
alpha0_run0,39,380,10.0.0.3,1.0,151.93,0.0,0.9284,117,0,0,0.0,0.0186,0.4909,20
alpha0_run0,39,380,10.0.0.4,1.0,141.43,0.0,0.9176,114,0,0,0.0,0.0186,0.4909,20
alpha0_run0,39,380,10.0.0.5,0.9995,143.04,0.0,0.9082,116,0,0,0.0,0.0186,0.4909,20
alpha0_run0,40,390,10.0.0.1,0.9998,105.21,0.0,0.9199,126,0,0,0.0,0.0195,0.4904,20
alpha0_run0,40,390,10.0.0.2,1.0,117.98,0.0,0.9295,110,0,0,0.0,0.0195,0.4904,20
alpha0_run0,40,390,10.0.0.3,1.0,151.93,0.0,0.9271,117,0,0,0.0,0.0195,0.4904,20
alpha0_run0,40,390,10.0.0.4,1.0,141.43,0.0,0.9211,114,0,0,0.0,0.0195,0.4904,20
alpha0_run0,40,390,10.0.0.5,0.9999,143.04,0.0,0.9143,116,0,0,0.0,0.0195,0.4904,20
alpha0_run0,41,400,10.0.0.1,1.0,135.28,0.0,0.9237,132,0,0,0.0,0.018,0.4911,20
alpha0_run0,41,400,10.0.0.2,1.0,108.62,0.0,0.9344,120,0,0,0.0,0.018,0.4911,20
alpha0_run0,41,400,10.0.0.3,1.0,151.93,0.0,0.9262,117,0,0,0.0,0.018,0.4911,20
alpha0_run0,41,400,10.0.0.4,1.0,141.43,0.0,0.9236,114,0,0,0.0,0.018,0.4911,20
alpha0_run0,41,400,10.0.0.5,1.0,143.04,0.0,0.9185,116,0,0,0.0,0.018,0.4911,20
alpha0_run0,42,410,10.0.0.1,1.0,120.34,0.0,0.9285,136,0,0,0.0,0.0178,0.4913,20
alpha0_run0,42,410,10.0.0.2,1.0,139.26,0.0,0.9332,128,0,0,0.0,0.0178,0.4913,20
alpha0_run0,42,410,10.0.0.3,1.0,151.93,0.0,0.9255,117,0,0,0.0,0.0178,0.4913,20
alpha0_run0,42,410,10.0.0.4,1.0,141.43,0.0,0.9253,114,0,0,0.0,0.0178,0.4913,20
alpha0_run0,42,410,10.0.0.5,1.0,135.53,0.0,0.9226,119,0,0,0.0,0.0178,0.4913,20
alpha0_run0,43,420,10.0.0.1,1.0,133.96,0.0,0.9299,143,0,0,0.0,0.0162,0.492,20
alpha0_run0,43,420,10.0.0.2,1.0,139.26,0.0,0.9323,128,0,0,0.0,0.0162,0.492,20
alpha0_run0,43,420,10.0.0.3,1.0,151.93,0.0,0.9251,117,0,0,0.0,0.0162,0.492,20
alpha0_run0,43,420,10.0.0.4,1.0,141.43,0.0,0.9265,114,0,0,0.0,0.0162,0.492,20
alpha0_run0,43,420,10.0.0.5,1.0,116.42,0.0,0.9284,128,0,0,0.0,0.0162,0.492,20
alpha0_run0,44,430,10.0.0.1,0.853,117.13,0.0,0.9113,147,0,0,0.0,0.0165,0.4919,20
alpha0_run0,44,430,10.0.0.2,1.0,124.3,0.0,0.934,130,0,0,0.0,0.0165,0.4919,20
alpha0_run0,44,430,10.0.0.3,1.0,151.93,0.0,0.9248,117,0,0,0.0,0.0165,0.4919,20
alpha0_run0,44,430,10.0.0.4,1.0,124.82,0.0,0.9298,115,0,0,0.0,0.0165,0.4919,20
alpha0_run0,44,430,10.0.0.5,1.0,143.4,0.0,0.9284,133,0,0,0.0,0.0165,0.4919,20
alpha0_run0,45,440,10.0.0.1,0.928,117.13,0.0,0.9095,147,0,0,0.0,0.0159,0.4922,20
alpha0_run0,45,440,10.0.0.2,1.0,132.09,0.0,0.934,137,0,0,0.0,0.0159,0.4922,20
alpha0_run0,45,440,10.0.0.3,1.0,151.93,0.0,0.9245,117,0,0,0.0,0.0159,0.4922,20
alpha0_run0,45,440,10.0.0.4,1.0,127.58,0.0,0.9317,116,0,0,0.0,0.0159,0.4922,20
alpha0_run0,45,440,10.0.0.5,1.0,143.4,0.0,0.9283,133,0,0,0.0,0.0159,0.4922,20
alpha0_run0,46,450,10.0.0.1,0.9986,122.04,0.0,0.9181,156,0,0,0.0,0.0185,0.4909,20
alpha0_run0,46,450,10.0.0.2,1.0,132.09,0.0,0.934,137,0,0,0.0,0.0185,0.4909,20
alpha0_run0,46,450,10.0.0.3,1.0,151.93,0.0,0.9244,117,0,0,0.0,0.0185,0.4909,20
alpha0_run0,46,450,10.0.0.4,1.0,105.77,0.0,0.9363,127,0,0,0.0,0.0185,0.4909,20
alpha0_run0,46,450,10.0.0.5,1.0,143.4,0.0,0.9283,133,0,0,0.0,0.0185,0.4909,20
alpha0_run0,47,460,10.0.0.1,1.0,134.59,0.0,0.9225,162,0,0,0.0,0.0181,0.4911,20
alpha0_run0,47,460,10.0.0.2,1.0,132.09,0.0,0.934,137,0,0,0.0,0.0181,0.4911,20
alpha0_run0,47,460,10.0.0.3,1.0,151.93,0.0,0.9243,117,0,0,0.0,0.0181,0.4911,20
alpha0_run0,47,460,10.0.0.4,1.0,119.18,0.0,0.9376,136,0,0,0.0,0.0181,0.4911,20
alpha0_run0,47,460,10.0.0.5,1.0,143.4,0.0,0.9283,133,0,0,0.0,0.0181,0.4911,20
