run,time,src,dest,path,hops,latency_ms,delivered,alpha
alpha0_run0,18,10.0.0.2,10.0.0.4,10.0.0.2->10.0.0.5->10.0.0.4,2,59.33,1,0.0
alpha0_run0,18,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.5,1,0.0,1,0.0
alpha0_run0,18,10.0.0.1,10.0.0.4,10.0.0.1->10.0.0.3->10.0.0.4,2,100.22,1,0.0
alpha0_run0,18,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.4,1,0.0,1,0.0
alpha0_run0,19,10.0.0.4,10.0.0.2,10.0.0.4->10.0.0.2,1,0.0,1,0.0
alpha0_run0,19,10.0.0.4,10.0.0.3,10.0.0.4->10.0.0.1->10.0.0.3,2,120.12,1,0.0
alpha0_run0,20,10.0.0.4,10.0.0.2,10.0.0.4->10.0.0.3->10.0.0.2,2,93.58,1,0.0
alpha0_run0,20,10.0.0.1,10.0.0.2,10.0.0.1->10.0.0.5->10.0.0.2,2,122.31,1,0.0
alpha0_run0,21,10.0.0.4,10.0.0.5,10.0.0.4->10.0.0.2->10.0.0.5,2,120.27,1,0.0
alpha0_run0,22,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.4->10.0.0.5,2,109.03,1,0.0
alpha0_run0,22,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.3->10.0.0.5,2,96.5,1,0.0
alpha0_run0,23,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.4->10.0.0.5,2,110.34,1,0.0
alpha0_run0,23,10.0.0.2,10.0.0.1,10.0.0.2->10.0.0.1,1,0.0,1,0.0
alpha0_run0,23,10.0.0.4,10.0.0.1,10.0.0.4->10.0.0.3->10.0.0.1,2,76.8,1,0.0
alpha0_run0,23,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.5->10.0.0.4,2,155.72,1,0.0
alpha0_run0,24,10.0.0.4,10.0.0.2,10.0.0.4->10.0.0.3->10.0.0.2,2,64.51,1,0.0
alpha0_run0,24,10.0.0.1,10.0.0.4,10.0.0.1->10.0.0.2->10.0.0.4,2,155.06,1,0.0
alpha0_run0,24,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.3->10.0.0.5,2,33.62,1,0.0
alpha0_run0,24,10.0.0.5,10.0.0.1,10.0.0.5->10.0.0.3->10.0.0.1,2,95.9,1,0.0
alpha0_run0,26,10.0.0.3,10.0.0.1,10.0.0.3->10.0.0.1,1,0.0,1,0.0
alpha0_run0,27,10.0.0.5,10.0.0.3,10.0.0.5->10.0.0.4->10.0.0.3,2,156.28,1,0.0
alpha0_run0,27,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.3->10.0.0.5,2,136.14,1,0.0
alpha0_run0,28,10.0.0.4,10.0.0.3,10.0.0.4->10.0.0.1->10.0.0.3,2,66.5,1,0.0
alpha0_run0,28,10.0.0.3,10.0.0.5,10.0.0.3->10.0.0.1,1,0.0,0,0.0
alpha0_run0,29,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.2->10.0.0.4,2,112.71,1,0.0
alpha0_run0,29,10.0.0.3,10.0.0.5,10.0.0.3->10.0.0.5,1,0.0,1,0.0
alpha0_run0,29,10.0.0.2,10.0.0.1,10.0.0.2->10.0.0.4->10.0.0.1,2,85.57,1,0.0
alpha0_run0,29,10.0.0.3,10.0.0.2,10.0.0.3->10.0.0.4->10.0.0.2,2,161.69,1,0.0
alpha0_run0,29,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.2->10.0.0.5,2,91.23,1,0.0
alpha0_run0,30,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.5,1,0.0,1,0.0
alpha0_run0,30,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.2->10.0.0.4,2,161.46,1,0.0
alpha0_run0,30,10.0.0.4,10.0.0.3,10.0.0.4->10.0.0.3,1,0.0,1,0.0
alpha0_run0,30,10.0.0.4,10.0.0.2,10.0.0.4->10.0.0.5->10.0.0.2,2,105.44,1,0.0
alpha0_run0,30,10.0.0.1,10.0.0.3,10.0.0.1->10.0.0.3,1,0.0,1,0.0
alpha0_run0,31,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.5,1,0.0,1,0.0
alpha0_run0,31,10.0.0.2,10.0.0.3,10.0.0.2->10.0.0.3,1,0.0,1,0.0
alpha0_run0,32,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.4,1,0.0,1,0.0
alpha0_run0,32,10.0.0.4,10.0.0.5,10.0.0.4->10.0.0.5,1,0.0,1,0.0
alpha0_run0,33,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.3->10.0.0.4,2,122.46,1,0.0
alpha0_run0,34,10.0.0.3,10.0.0.1,10.0.0.3->10.0.0.2->10.0.0.1,2,167.79,1,0.0
alpha0_run0,34,10.0.0.2,10.0.0.1,10.0.0.2->10.0.0.1,1,0.0,1,0.0
alpha0_run0,34,10.0.0.2,10.0.0.1,10.0.0.2->10.0.0.1,1,0.0,1,0.0
alpha0_run0,34,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.4->10.0.0.5,2,106.98,1,0.0
alpha0_run0,35,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.1->10.0.0.5,2,148.36,1,0.0
alpha0_run0,36,10.0.0.5,10.0.0.3,10.0.0.5->10.0.0.4->10.0.0.3,2,157.99,1,0.0
alpha0_run0,36,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.5,1,0.0,1,0.0
alpha0_run0,36,10.0.0.3,10.0.0.1,10.0.0.3->10.0.0.5->10.0.0.1,2,99.6,1,0.0
alpha0_run0,38,10.0.0.2,10.0.0.3,10.0.0.2->10.0.0.1->10.0.0.3,2,112.1,1,0.0
alpha0_run0,38,10.0.0.4,10.0.0.1,10.0.0.4->10.0.0.3->10.0.0.1,2,107.4,1,0.0
alpha0_run0,39,10.0.0.3,10.0.0.2,10.0.0.3->10.0.0.5->10.0.0.2,2,124.18,1,0.0
alpha0_run0,39,10.0.0.5,10.0.0.1,10.0.0.5->10.0.0.1,1,0.0,1,0.0
alpha0_run0,39,10.0.0.4,10.0.0.5,10.0.0.4->10.0.0.2->10.0.0.5,2,113.93,1,0.0
alpha0_run0,40,10.0.0.4,10.0.0.1,10.0.0.4->10.0.0.3->10.0.0.1,2,121.83,1,0.0
alpha0_run0,40,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.2->10.0.0.4,2,133.18,1,0.0
alpha0_run0,40,10.0.0.2,10.0.0.4,10.0.0.2->10.0.0.1->10.0.0.4,2,116.75,1,0.0
alpha0_run0,45,10.0.0.5,10.0.0.2,10.0.0.5->10.0.0.4->10.0.0.2,2,82.85,1,0.0
alpha0_run0,46,10.0.0.3,10.0.0.1,10.0.0.3->10.0.0.4->10.0.0.1,2,95.26,1,0.0
alpha0_run0,46,10.0.0.1,10.0.0.2,10.0.0.1->10.0.0.4->10.0.0.2,2,53.5,1,0.0
alpha0_run0,47,10.0.0.1,10.0.0.4,10.0.0.1->10.0.0.4,1,0.0,1,0.0
alpha0_run0,47,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.4,1,0.0,1,0.0
alpha0_run0,47,10.0.0.1,10.0.0.4,10.0.0.1->10.0.0.4,1,0.0,1,0.0
alpha0_run0,48,10.0.0.1,10.0.0.2,10.0.0.1->10.0.0.4->10.0.0.2,2,161.69,1,0.0
alpha0_run0,48,10.0.0.1,10.0.0.3,10.0.0.1->10.0.0.5->10.0.0.3,2,131.76,1,0.0
alpha0_run0,49,10.0.0.5,10.0.0.3,10.0.0.5->10.0.0.1->10.0.0.3,2,116.26,1,0.0
alpha0_run0,49,10.0.0.4,10.0.0.3,10.0.0.4->10.0.0.2->10.0.0.3,2,174.41,1,0.0
alpha0_run0,49,10.0.0.4,10.0.0.1,10.0.0.4->10.0.0.3->10.0.0.1,2,132.14,1,0.0
alpha0_run0,50,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.1->10.0.0.4,2,136.77,1,0.0
alpha0_run0,53,10.0.0.1,10.0.0.2,10.0.0.1->10.0.0.5->10.0.0.2,2,146.18,1,0.0
alpha0_run0,53,10.0.0.4,10.0.0.3,10.0.0.4->10.0.0.3,1,0.0,1,0.0
alpha0_run0,53,10.0.0.3,10.0.0.1,10.0.0.3->10.0.0.1,1,0.0,1,0.0
alpha0_run0,54,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.2->10.0.0.4,2,102.77,1,0.0
alpha0_run0,54,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.3->10.0.0.5,2,75.24,1,0.0
alpha0_run0,56,10.0.0.1,10.0.0.2,10.0.0.1->10.0.0.3->10.0.0.2,2,126.72,1,0.0
alpha0_run0,56,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.2->10.0.0.4,2,120.38,1,0.0
alpha0_run0,56,10.0.0.4,10.0.0.1,10.0.0.4->10.0.0.2->10.0.0.1,2,163.53,1,0.0
alpha0_run0,56,10.0.0.1,10.0.0.2,10.0.0.1->10.0.0.5->10.0.0.2,2,148.78,1,0.0
alpha0_run0,57,10.0.0.4,10.0.0.5,10.0.0.4->10.0.0.1->10.0.0.5,2,94.81,1,0.0
alpha0_run0,57,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.1->10.0.0.5,2,102.02,1,0.0
alpha0_run0,57,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.1->10.0.0.5,2,130.25,1,0.0
alpha0_run0,57,10.0.0.1,10.0.0.2,10.0.0.1->10.0.0.4->10.0.0.2,2,176.29,1,0.0
alpha0_run0,58,10.0.0.3,10.0.0.1,10.0.0.3->10.0.0.1,1,0.0,1,0.0
alpha0_run0,59,10.0.0.2,10.0.0.4,10.0.0.2->10.0.0.3->10.0.0.4,2,117.79,1,0.0
alpha0_run0,59,10.0.0.1,10.0.0.3,10.0.0.1->10.0.0.3,1,0.0,1,0.0
alpha0_run0,59,10.0.0.1,10.0.0.4,10.0.0.1->10.0.0.2->10.0.0.4,2,111.53,1,0.0
alpha0_run0,59,10.0.0.1,10.0.0.3,10.0.0.1->10.0.0.2->10.0.0.3,2,99.18,1,0.0
alpha0_run0,64,10.0.0.2,10.0.0.3,10.0.0.2->10.0.0.5->10.0.0.3,2,123.3,1,0.0
alpha0_run0,64,10.0.0.5,10.0.0.2,10.0.0.5->10.0.0.2,1,0.0,1,0.0
alpha0_run0,64,10.0.0.1,10.0.0.3,10.0.0.1->10.0.0.2->10.0.0.3,2,93.84,1,0.0
alpha0_run0,64,10.0.0.1,10.0.0.2,10.0.0.1->10.0.0.2,1,0.0,1,0.0
alpha0_run0,64,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.3->10.0.0.5,2,99.87,1,0.0
alpha0_run0,66,10.0.0.1,10.0.0.3,10.0.0.1->10.0.0.2->10.0.0.3,2,103.1,1,0.0
alpha0_run0,66,10.0.0.5,10.0.0.1,10.0.0.5->10.0.0.2->10.0.0.1,2,196.18,1,0.0
alpha0_run0,66,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.1->10.0.0.4,2,126.09,1,0.0
alpha0_run0,67,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.3->10.0.0.5,2,121.49,1,0.0
alpha0_run0,67,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.5,1,0.0,1,0.0
alpha0_run0,67,10.0.0.4,10.0.0.2,10.0.0.4->10.0.0.5->10.0.0.2,2,68.9,1,0.0
alpha0_run0,68,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.5->10.0.0.4,2,118.33,1,0.0
alpha0_run0,68,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.5->10.0.0.4,2,131.0,1,0.0
alpha0_run0,68,10.0.0.4,10.0.0.5,10.0.0.4->10.0.0.5,1,0.0,1,0.0
alpha0_run0,69,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.1->10.0.0.4,2,91.8,1,0.0
alpha0_run0,69,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.1->10.0.0.5,2,121.53,1,0.0
alpha0_run0,69,10.0.0.5,10.0.0.1,10.0.0.5->10.0.0.3->10.0.0.1,2,105.34,1,0.0
alpha0_run0,69,10.0.0.2,10.0.0.1,10.0.0.2->10.0.0.3->10.0.0.1,2,116.94,1,0.0
alpha0_run0,70,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.1->10.0.0.4,2,121.26,1,0.0
alpha0_run0,70,10.0.0.1,10.0.0.3,10.0.0.1->10.0.0.5->10.0.0.3,2,125.45,1,0.0
alpha0_run0,71,10.0.0.4,10.0.0.3,10.0.0.4->10.0.0.3,1,0.0,1,0.0
alpha0_run0,71,10.0.0.2,10.0.0.1,10.0.0.2->10.0.0.4->10.0.0.1,2,96.74,1,0.0
alpha0_run0,71,10.0.0.3,10.0.0.5,10.0.0.3->10.0.0.4->10.0.0.5,2,146.01,1,0.0
alpha0_run0,72,10.0.0.2,10.0.0.3,10.0.0.2->10.0.0.1->10.0.0.3,2,134.13,1,0.0
alpha0_run0,73,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.4,1,0.0,1,0.0
alpha0_run0,75,10.0.0.2,10.0.0.3,10.0.0.2->10.0.0.5->10.0.0.3,2,126.55,1,0.0
alpha0_run0,76,10.0.0.2,10.0.0.4,10.0.0.2->10.0.0.3->10.0.0.4,2,147.32,1,0.0
alpha0_run0,76,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.4->10.0.0.5,2,93.73,1,0.0
alpha0_run0,76,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.4->10.0.0.5,2,78.52,1,0.0
alpha0_run0,77,10.0.0.5,10.0.0.2,10.0.0.5->10.0.0.4->10.0.0.2,2,155.66,1,0.0
alpha0_run0,77,10.0.0.1,10.0.0.4,10.0.0.1->10.0.0.5->10.0.0.4,2,118.76,1,0.0
alpha0_run0,77,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.4,1,0.0,1,0.0
alpha0_run0,78,10.0.0.1,10.0.0.3,10.0.0.1->10.0.0.5->10.0.0.3,2,135.85,1,0.0
alpha0_run0,78,10.0.0.3,10.0.0.5,10.0.0.3->10.0.0.1->10.0.0.5,2,126.23,1,0.0
alpha0_run0,78,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.4,1,0.0,1,0.0
alpha0_run0,78,10.0.0.5,10.0.0.2,10.0.0.5->10.0.0.2,1,0.0,1,0.0
alpha0_run0,79,10.0.0.4,10.0.0.3,10.0.0.4->10.0.0.1->10.0.0.3,2,113.6,1,0.0
alpha0_run0,79,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.1->10.0.0.4,2,124.16,1,0.0
alpha0_run0,79,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.4,1,0.0,1,0.0
alpha0_run0,81,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.3->10.0.0.5,2,102.52,1,0.0
alpha0_run0,82,10.0.0.1,10.0.0.4,10.0.0.1->10.0.0.3->10.0.0.4,2,127.83,1,0.0
alpha0_run0,83,10.0.0.5,10.0.0.2,10.0.0.5->10.0.0.2,1,0.0,1,0.0
alpha0_run0,83,10.0.0.4,10.0.0.5,10.0.0.4->10.0.0.5,1,0.0,1,0.0
alpha0_run0,84,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.4,1,0.0,1,0.0
alpha0_run0,84,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.3->10.0.0.5,2,135.96,1,0.0
alpha0_run0,84,10.0.0.4,10.0.0.2,10.0.0.4->10.0.0.1->10.0.0.2,2,140.89,1,0.0
alpha0_run0,85,10.0.0.2,10.0.0.3,10.0.0.2->10.0.0.5->10.0.0.3,2,111.89,1,0.0
alpha0_run0,86,10.0.0.3,10.0.0.1,10.0.0.3->10.0.0.5->10.0.0.1,2,148.43,1,0.0
alpha0_run0,86,10.0.0.1,10.0.0.2,10.0.0.1->10.0.0.2,1,0.0,1,0.0
alpha0_run0,87,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.4,1,0.0,1,0.0
alpha0_run0,87,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.4,1,0.0,1,0.0
alpha0_run0,89,10.0.0.5,10.0.0.1,10.0.0.5->10.0.0.2->10.0.0.1,2,125.46,1,0.0
alpha0_run0,89,10.0.0.1,10.0.0.2,10.0.0.1->10.0.0.2,1,0.0,1,0.0
alpha0_run0,89,10.0.0.5,10.0.0.1,10.0.0.5->10.0.0.4->10.0.0.1,2,127.45,1,0.0
alpha0_run0,90,10.0.0.2,10.0.0.3,10.0.0.2->10.0.0.3,1,0.0,1,0.0
alpha0_run0,91,10.0.0.5,10.0.0.3,10.0.0.5->10.0.0.1->10.0.0.3,2,187.72,1,0.0
alpha0_run0,91,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.2->10.0.0.4,2,91.99,1,0.0
alpha0_run0,92,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.2->10.0.0.4,2,141.54,1,0.0
alpha0_run0,92,10.0.0.4,10.0.0.3,10.0.0.4->10.0.0.2->10.0.0.3,2,167.03,1,0.0
alpha0_run0,93,10.0.0.2,10.0.0.3,10.0.0.2->10.0.0.5->10.0.0.3,2,111.93,1,0.0
alpha0_run0,94,10.0.0.4,10.0.0.1,10.0.0.4->10.0.0.5->10.0.0.1,2,106.8,1,0.0
alpha0_run0,94,10.0.0.2,10.0.0.1,10.0.0.2->10.0.0.5->10.0.0.1,2,79.76,1,0.0
alpha0_run0,95,10.0.0.5,10.0.0.2,10.0.0.5->10.0.0.3->10.0.0.2,2,176.6,1,0.0
alpha0_run0,95,10.0.0.1,10.0.0.2,10.0.0.1->10.0.0.5->10.0.0.2,2,196.16,1,0.0
alpha0_run0,95,10.0.0.5,10.0.0.3,10.0.0.5->10.0.0.4->10.0.0.3,2,135.72,1,0.0
alpha0_run0,95,10.0.0.1,10.0.0.3,10.0.0.1->10.0.0.4->10.0.0.3,2,145.57,1,0.0
alpha0_run0,96,10.0.0.2,10.0.0.4,10.0.0.2->10.0.0.5->10.0.0.4,2,50.38,1,0.0
alpha0_run0,96,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.5->10.0.0.4,2,112.63,1,0.0
alpha0_run0,97,10.0.0.3,10.0.0.2,10.0.0.3->10.0.0.5->10.0.0.2,2,111.82,1,0.0
alpha0_run0,97,10.0.0.2,10.0.0.1,10.0.0.2->10.0.0.5->10.0.0.1,2,118.89,1,0.0
alpha0_run0,97,10.0.0.4,10.0.0.2,10.0.0.4->10.0.0.5->10.0.0.2,2,132.88,1,0.0
alpha0_run0,98,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.5,1,0.0,1,0.0
alpha0_run0,100,10.0.0.5,10.0.0.1,10.0.0.5->10.0.0.2->10.0.0.1,2,197.1,1,0.0
alpha0_run0,100,10.0.0.2,10.0.0.1,10.0.0.2->10.0.0.5->10.0.0.1,2,86.79,1,0.0
alpha0_run0,100,10.0.0.2,10.0.0.3,10.0.0.2->10.0.0.5->10.0.0.3,2,103.09,1,0.0
alpha0_run0,101,10.0.0.5,10.0.0.3,10.0.0.5->10.0.0.4->10.0.0.3,2,12.95,1,0.0
alpha0_run0,102,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.4->10.0.0.5,2,112.3,1,0.0
alpha0_run0,103,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.4,1,0.0,1,0.0
alpha0_run0,103,10.0.0.1,10.0.0.4,10.0.0.1->10.0.0.4,1,0.0,1,0.0
alpha0_run0,104,10.0.0.3,10.0.0.5,10.0.0.3->10.0.0.4->10.0.0.5,2,150.73,1,0.0
alpha0_run0,104,10.0.0.5,10.0.0.2,10.0.0.5->10.0.0.4->10.0.0.2,2,137.79,1,0.0
alpha0_run0,104,10.0.0.2,10.0.0.4,10.0.0.2->10.0.0.5->10.0.0.4,2,110.71,1,0.0
alpha0_run0,104,10.0.0.5,10.0.0.3,10.0.0.5->10.0.0.1->10.0.0.3,2,129.91,1,0.0
alpha0_run0,104,10.0.0.2,10.0.0.3,10.0.0.2->10.0.0.5->10.0.0.3,2,146.1,1,0.0
alpha0_run0,104,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.1->10.0.0.4,2,106.24,1,0.0
alpha0_run0,106,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.1->10.0.0.4,2,152.66,1,0.0
alpha0_run0,106,10.0.0.2,10.0.0.3,10.0.0.2->10.0.0.1->10.0.0.3,2,124.99,1,0.0
alpha0_run0,106,10.0.0.3,10.0.0.2,10.0.0.3->10.0.0.1->10.0.0.2,2,90.72,1,0.0
alpha0_run0,107,10.0.0.1,10.0.0.3,10.0.0.1->10.0.0.3,1,0.0,1,0.0
alpha0_run0,108,10.0.0.3,10.0.0.2,10.0.0.3->10.0.0.1->10.0.0.2,2,81.35,1,0.0
alpha0_run0,108,10.0.0.5,10.0.0.3,10.0.0.5->10.0.0.1->10.0.0.3,2,123.02,1,0.0
alpha0_run0,108,10.0.0.5,10.0.0.2,10.0.0.5->10.0.0.1->10.0.0.2,2,132.25,1,0.0
alpha0_run0,109,10.0.0.2,10.0.0.3,10.0.0.2->10.0.0.1->10.0.0.3,2,68.92,1,0.0
alpha0_run0,109,10.0.0.1,10.0.0.4,10.0.0.1->10.0.0.4,1,0.0,1,0.0
alpha0_run0,110,10.0.0.5,10.0.0.1,10.0.0.5->10.0.0.1,1,0.0,1,0.0
alpha0_run0,110,10.0.0.2,10.0.0.1,10.0.0.2->10.0.0.1,1,0.0,1,0.0
alpha0_run0,110,10.0.0.4,10.0.0.2,10.0.0.4->10.0.0.1->10.0.0.2,2,109.56,1,0.0
alpha0_run0,110,10.0.0.4,10.0.0.3,10.0.0.4->10.0.0.1->10.0.0.3,2,125.96,1,0.0
alpha0_run0,111,10.0.0.4,10.0.0.1,10.0.0.4->10.0.0.1,1,0.0,1,0.0
alpha0_run0,112,10.0.0.1,10.0.0.3,10.0.0.1->10.0.0.3,1,0.0,1,0.0
alpha0_run0,112,10.0.0.4,10.0.0.3,10.0.0.4->10.0.0.1->10.0.0.3,2,102.73,1,0.0
alpha0_run0,112,10.0.0.3,10.0.0.1,10.0.0.3->10.0.0.1,1,0.0,1,0.0
alpha0_run0,112,10.0.0.3,10.0.0.2,10.0.0.3->10.0.0.1->10.0.0.2,2,123.66,1,0.0
alpha0_run0,112,10.0.0.2,10.0.0.1,10.0.0.2->10.0.0.4->10.0.0.1,2,88.62,1,0.0
alpha0_run0,113,10.0.0.2,10.0.0.1,10.0.0.2->10.0.0.4,1,0.0,0,0.0
alpha0_run0,113,10.0.0.3,10.0.0.2,10.0.0.3->10.0.0.5,1,0.0,0,0.0
alpha0_run0,113,10.0.0.4,10.0.0.3,10.0.0.4->10.0.0.3,1,0.0,1,0.0
alpha0_run0,114,10.0.0.1,10.0.0.4,10.0.0.1->10.0.0.3->10.0.0.4,2,66.58,1,0.0
alpha0_run0,114,10.0.0.3,10.0.0.5,10.0.0.3->10.0.0.1->10.0.0.5,2,144.14,1,0.0
alpha0_run0,114,10.0.0.1,10.0.0.3,10.0.0.1->10.0.0.3,1,0.0,1,0.0
alpha0_run0,114,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.3->10.0.0.5,2,147.91,1,0.0
alpha0_run0,115,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.3->10.0.0.5,2,128.15,1,0.0
alpha0_run0,115,10.0.0.2,10.0.0.4,10.0.0.2->10.0.0.3->10.0.0.4,2,81.7,1,0.0
alpha0_run0,116,10.0.0.4,10.0.0.3,10.0.0.4->10.0.0.3,1,0.0,1,0.0
alpha0_run0,116,10.0.0.3,10.0.0.2,10.0.0.3->10.0.0.2,1,0.0,1,0.0
alpha0_run0,116,10.0.0.3,10.0.0.2,10.0.0.3->10.0.0.2,1,0.0,1,0.0
alpha0_run0,116,10.0.0.1,10.0.0.3,10.0.0.1->10.0.0.3,1,0.0,1,0.0
alpha0_run0,116,10.0.0.3,10.0.0.5,10.0.0.3->10.0.0.1->10.0.0.5,2,126.66,1,0.0
alpha0_run0,117,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.3->10.0.0.5,2,105.64,1,0.0
alpha0_run0,117,10.0.0.1,10.0.0.2,10.0.0.1->10.0.0.3->10.0.0.2,2,128.01,1,0.0
